familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employstatus,salary,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,logage,employed,retired
8596,4,38,1,1,1,1,0,1,3,0,1,0,1,3.6375861,1,0
9276,4,40,1,1,1,1,0,1,2,1,1,1,1,3.6888795,1,0
9390,5,48,2,1,1,5,0,1,2,0,1,0,1,3.871201,0,0
9096,4,53,3,4,1,3,0,1,2,0,0,0,0,3.9702919,0,0
8229,1,29,2,4,0,1,0,1,1,0,0,0,1,3.3672957,1,0
6346,3,34,2,1,1,1,0,1,2,0,1,1,1,3.5263605,1,0
8060,2,76,2,1,1,5,0,1,2,0,1,0,1,4.3307333,0,0
2352,2,67,2,3,0,6,0,0,0,0,1,0,1,4.2046928,0,0
7562,6,45,3,1,0,1,0,1,3,0,1,0,0,3.8066626,1,0
3358,5,57,2,1,1,4,0,1,2,0,1,0,1,4.0430512,0,1
3533,5,31,1,4,0,1,0,1,1,0,1,0,1,3.4339871,1,0
3008,6,37,2,1,1,1,0,1,2,0,0,0,1,3.6109178,1,0
3501,2,64,2,1,1,4,0,1,2,0,1,0,1,4.1588831,0,1
3045,5,35,2,1,1,1,0,1,2,0,0,0,1,3.5553482,1,0
2116,1,68,3,1,1,4,0,1,1,0,1,0,0,4.2195077,0,1
2289,3,33,3,1,0,1,0,1,1,0,1,0,0,3.4965076,1,0
3402,5,52,2,1,1,1,0,1,5,0,1,0,1,3.9512436,1,0
3286,2,56,1,3,0,1,0,1,2,0,1,0,1,4.0253515,1,0
3262,3,35,3,1,0,1,0,1,3,0,1,0,0,3.5553482,1,0
2967,3,66,2,1,1,4,0,1,2,0,1,0,1,4.1896548,0,1
2570,2,34,3,3,0,1,32000,1,1,0,1,0,0,3.5263605,1,0
2568,3,29,3,3,0,3,0,1,1,0,1,0,0,3.3672957,0,0
7941,3,48,1,4,1,3,0,1,2,0,1,0,1,3.871201,0,0
9388,4,32,2,1,0,1,24960,1,1,0,1,0,1,3.4657359,1,0
3382,4,41,2,1,1,1,3800,1,2,1,1,0,1,3.713572,1,0
3449,9,60,0,1,1,1,13000,1,8,0,1,0,0,4.0943446,1,0
3257,2,30,2,3,0,1,0,1,2,0,1,0,1,3.4011974,1,0
5567,5,37,2,1,0,1,0,1,2,0,1,1,1,3.6109178,1,0
9257,4,48,3,1,1,1,0,1,2,1,1,0,0,3.871201,1,0
916,3,42,2,1,1,1,0,1,2,0,1,1,1,3.7376697,1,0
425,4,40,1,1,1,1,118000,1,2,1,1,1,1,3.6888795,1,0
2471,5,55,2,1,1,1,0,1,2,0,1,0,1,4.0073333,1,0
2402,6,27,2,3,0,1,0,1,4,0,1,1,1,3.2958369,1,0
